flow_temp,room_temp,000_100_output,000_100_temp,000_150_output,000_150_temp,000_200_output,000_200_temp,000_250_output,000_250_temp,000_300_output,000_300_temp,005_100_output,005_100_temp,005_150_output,005_150_temp,005_200_output,005_200_temp,005_250_output,005_250_temp,005_300_output,005_300_temp,010_100_output,010_100_temp,010_150_output,010_150_temp,010_200_output,010_200_temp,010_250_output,010_250_temp,010_300_output,010_300_temp,015_100_output,015_100_temp,015_150_output,015_150_temp,015_200_output,015_200_temp,015_250_output,015_250_temp,015_300_output,015_300_temp
35,15,100.3,24,86.4,22.9,74.9,21.9,64.9,21.1,56.4,20.3,73.6,21.8,65,21.1,57.6,20.5,51.1,19.9,45.4,19.4,58.3,20.5,52.5,20,47.4,19.6,42.8,19.2,38.8,18.8,48.4,19.7,44.2,19.3,40.4,18.9,37,18.6,33.9,18.4
35,18,80.2,25.4,69.1,24.4,59.9,23.6,51.9,23,45.1,22.4,58.8,23.6,52,23,46.1,22.5,40.9,22,36.3,21.6,46.6,22.5,42,22.1,37.9,21.7,34.3,21.4,31,21.1,38.7,21.8,35.4,21.5,32.3,21.2,29.6,21,27.1,20.7
35,20,66.8,26.2,57.6,25.5,49.9,24.8,43.3,24.2,37.6,23.6,49,24.7,43.3,24.2,38.4,23.8,34.1,23.4,30.3,23,38.9,23.8,35,23.5,31.6,23.2,28.6,22.9,25.8,22.6,32.2,23.2,29.5,23,27,22.7,24.7,22.5,22.6,22.3
35,22,53.5,27.1,46.1,26.5,39.9,25.9,34.6,25.4,30.1,25,39.2,25.8,34.7,25.4,30.7,25.1,27.2,24.8,24.2,24.5,31.1,25.1,28,24.8,25.3,24.6,22.8,24.3,20.7,24.1,25.8,24.6,23.6,24.4,21.6,24.2,19.7,24.1,18.1,23.9
35,24,40.1,27.9,34.6,27.4,29.9,27,26,26.6,22.6,26.3,29.4,27,26,26.6,23,26.4,20.4,26.1,18.2,25.9,23.3,26.4,21,26.2,19,26,17.1,25.8,15.5,25.7,19.3,26,17.7,25.9,16.2,25.7,14.8,25.6,13.6,25.5
40,15,133.7,26.7,115.2,25.2,99.8,24,86.5,22.9,75.2,21.9,98.1,23.8,86.7,22.9,76.8,22.1,68.1,21.3,60.5,20.7,77.7,22.2,70.1,21.5,63.2,20.9,57.1,20.4,51.7,19.9,64.5,21,59,20.6,53.9,20.1,49.3,19.7,45.2,19.4
40,18,113.6,28.1,97.9,26.8,84.8,25.7,73.5,24.8,63.9,24,83.4,25.6,73.7,24.8,65.3,24.1,57.9,23.5,51.5,22.9,66,24.2,59.6,23.6,53.8,23.1,48.5,22.7,43.9,22.3,54.8,23.2,50.1,22.8,45.8,22.4,41.9,22.1,38.4,21.8
40,20,100.3,29,86.4,27.9,74.9,26.9,64.9,26.1,56.4,25.3,73.6,26.8,65,26.1,57.6,25.5,51.1,24.9,45.4,24.4,58.3,25.5,52.5,25,47.4,24.6,42.8,24.2,38.8,23.8,48.4,24.7,44.2,24.3,40.4,23.9,37,23.6,33.9,23.4
40,22,86.9,29.9,74.9,28.9,64.9,28.1,56.2,27.3,48.9,26.7,63.8,28,56.3,27.3,49.9,26.8,44.3,26.3,39.4,25.9,50.5,26.8,45.5,26.4,41.1,26,37.1,25.7,33.6,25.3,41.9,26.1,38.3,25.8,35,25.5,32,25.2,29.4,25
40,24,73.5,30.8,63.4,29.9,54.9,29.2,47.6,28.6,41.4,28,53.9,29.1,47.7,28.6,42.3,28.1,37.5,27.7,33.3,27.3,42.7,28.2,38.5,27.8,34.8,27.4,31.4,27.1,28.4,26.9,35.5,27.5,32.4,27.2,29.6,27,27.1,26.7,24.8,26.5
45,15,167.1,29.4,144,27.5,124.8,26,108.2,24.7,94,23.5,122.6,25.8,108.4,24.7,96,23.7,85.2,22.8,75.7,22,97.1,23.8,87.6,23,79.1,22.3,71.4,21.6,64.6,21,80.6,22.4,73.7,21.8,67.4,21.3,61.6,20.8,56.5,20.4
45,18,147,30.8,126.7,29.2,109.8,27.8,95.2,26.6,82.7,25.6,107.9,27.7,95.3,26.6,84.5,25.7,74.9,24.9,66.6,24.2,85.5,25.8,77.1,25.1,69.6,24.5,62.8,23.9,56.8,23.4,70.9,24.6,64.9,24.1,59.3,23.6,54.2,23.2,49.7,22.8
45,20,133.7,31.7,115.2,30.2,99.8,29,86.5,27.9,75.2,26.9,98.1,28.8,86.7,27.9,76.8,27.1,68.1,26.3,60.5,25.7,77.7,27.2,70.1,26.5,63.2,25.9,57.1,25.4,51.7,24.9,64.5,26,59,25.6,53.9,25.1,49.3,24.7,45.2,24.4
45,22,120.3,32.6,103.7,31.3,89.8,30.2,77.9,29.2,67.7,28.3,88.3,30,78,29.2,69.1,28.4,61.3,27.8,54.5,27.2,69.9,28.5,63.1,27.9,56.9,27.4,51.4,26.9,46.5,26.5,58,27.5,53.1,27.1,48.5,26.7,44.4,26.3,40.7,26
45,24,106.9,33.6,92.2,32.4,79.8,31.3,69.2,30.4,60.2,29.7,78.5,31.2,69.3,30.4,61.5,29.8,54.5,29.2,48.4,28.7,62.2,29.8,56,29.3,50.6,28.8,45.7,28.4,41.3,28,51.6,28.9,47.2,28.5,43.1,28.2,39.4,27.9,36.1,27.6
50,15,200.5,31.9,172.8,29.8,149.7,28,129.8,26.4,112.8,25,147.1,27.8,130,26.4,115.2,25.2,102.2,24.2,90.8,23.2,116.6,25.3,105.1,24.4,94.9,23.6,85.7,22.8,77.5,22.1,96.7,23.7,88.4,23,80.9,22.4,74,21.8,67.8,21.3
50,18,180.5,33.4,155.5,31.4,134.7,29.8,116.8,28.4,101.5,27.1,132.4,29.6,117,28.4,103.7,27.3,92,26.3,81.7,25.5,104.9,27.4,94.6,26.6,85.4,25.8,77.1,25.1,69.8,24.5,87,25.9,79.6,25.3,72.8,24.7,66.6,24.2,61,23.7
50,20,167.1,34.4,144,32.5,124.8,31,108.2,29.7,94,28.5,122.6,30.8,108.4,29.7,96,28.7,85.2,27.8,75.7,27,97.1,28.8,87.6,28,79.1,27.3,71.4,26.6,64.6,26,80.6,27.4,73.7,26.8,67.4,26.3,61.6,25.8,56.5,25.4
50,22,153.7,35.3,132.5,33.6,114.8,32.2,99.5,31,86.5,29.9,112.8,32,99.7,31,88.3,30,78.3,29.2,69.6,28.5,89.4,30.1,80.6,29.4,72.7,28.7,65.7,28.1,59.4,27.6,74.2,28.9,67.8,28.3,62,27.8,56.7,27.4,52,27
50,24,140.4,36.3,121,34.7,104.8,33.4,90.8,32.2,79,31.3,103,33.2,91,32.3,80.7,31.4,71.5,30.6,63.6,30,81.6,31.5,73.6,30.8,66.4,30.2,60,29.7,54.3,29.2,67.7,30.3,61.9,29.8,56.6,29.4,51.8,28.9,47.4,28.6
55,15,233.9,34.5,201.6,32,174.7,29.9,151.4,28.1,131.6,26.6,171.6,29.7,151.7,28.1,134.4,26.8,119.2,25.6,105.9,24.5,136,26.9,122.6,25.8,110.7,24.9,99.9,24,90.4,23.2,112.8,25,103.2,24.3,94.3,23.5,86.3,22.9,79.1,22.3
55,18,213.9,36,184.4,33.7,159.7,31.8,138.4,30.1,120.4,28.7,156.9,31.6,138.7,30.1,122.9,28.9,109,27.7,96.9,26.7,124.3,29,112.1,28,101.2,27.1,91.4,26.3,82.7,25.6,103.2,27.3,94.3,26.5,86.2,25.9,78.9,25.3,72.3,24.7
55,20,200.5,36.9,172.8,34.8,149.7,33,129.8,31.4,112.8,30,147.1,32.8,130,31.4,115.2,30.2,102.2,29.2,90.8,28.2,116.6,30.3,105.1,29.4,94.9,28.6,85.7,27.8,77.5,27.1,96.7,28.7,88.4,28,80.9,27.4,74,26.8,67.8,26.3
55,22,187.2,37.9,161.3,35.9,139.7,34.2,121.1,32.7,105.3,31.4,137.3,34,121.4,32.7,107.5,31.6,95.4,30.6,84.8,29.7,108.8,31.7,98.1,30.8,88.5,30.1,79.9,29.3,72.4,28.7,90.3,30.2,82.5,29.6,75.5,29,69,28.4,63.3,27.9
55,24,173.8,38.9,149.8,37,129.7,35.4,112.5,34,97.8,32.8,127.5,35.2,112.7,34,99.9,33,88.6,32.1,78.7,31.2,101,33.1,91.1,32.3,82.2,31.5,74.2,30.9,67.2,30.3,83.8,31.7,76.6,31.1,70.1,30.5,64.1,30,58.7,29.5
